"";"x1";"x2";"sex";"y"
"1";4;3;1;2,21
"2";6;5;1;-5,27
"3";3;2;2;2,21
"4";5;5;1;-12
"5";6;6;1;-1,61
"6";6;5;1;-2,96
"7";6;6;2;-3,92
"8";3;2;2;5,94
"9";6;5;2;-5,3
"10";5;4;1;-5,84
"11";7;7;2;-3,19
"12";3;2;2;4,79
"13";7;6;2;1,8
"14";4;4;2;9,27
"15";5;4;2;0,27
"16";6;6;1;-5,97
"17";4;3;1;-5,14
"18";4;4;2;0,06
"19";3;2;2;2,67
"20";5;5;2;6,47
"21";6;6;1;-8,27
"22";4;3;1;-8,97
"23";2;2;2;5,74
"24";4;4;1;3,22
"25";6;5;1;3,6
"26";4;4;1;4,94
"27";4;4;2;-0,16
"28";5;5;1;-8,84
"29";4;3;2;1,24
"30";4;3;2;2,13
"31";5;4;1;1,89
"32";5;4;2;-2,04
"33";5;4;1;0,2
"34";6;5;1;-3,27
"35";4;3;2;-2,04
"36";4;4;2;4,46
"37";4;4;1;-0,92
"38";7;7;2;-3,95
"39";5;5;1;-5,75
"40";6;6;2;-2,24
"41";5;5;1;6,44
"42";3;2;1;0,18
"43";5;4;2;-4,78
"44";4;3;2;0,72
"45";5;5;2;-3,7
"46";5;4;2;-0,65
"47";3;2;1;-0,1
"48";4;3;2;-0,37
"49";5;5;1;-2,76
"50";3;2;1;3,1
"51";5;4;1;1,36
"52";4;4;1;-3,26
"53";2;1;2;3,93
"54";7;7;2;-4,45
"55";4;4;1;-0,85
"56";5;5;1;1,96
"57";4;3;1;-6,51
"58";4;4;1;-5,12
"59";6;5;2;0,04
"60";5;5;1;-2,34
"61";6;5;1;-8,47
"62";7;6;2;-10,71
"63";7;6;1;-1,02
"64";5;4;2;1,85
"65";6;6;1;-8,55
"66";5;5;2;-2,09
"67";4;4;1;-3,16
"68";5;5;1;-0,62
"69";5;4;1;-4,13
"70";3;7;1;-3,39
"71";4;3;2;7,22
"72";6;3;1;0,54
"73";4;6;1;-6,41
"74";5;4;2;-0,29
"75";4;5;1;-0,54
"76";6;3;2;-13,25
"77";5;6;1;-10,21
"78";6;5;1;-4,34
"79";4;5;2;-7,16
"80";2;4;2;4,56
"81";6;2;2;0,66
"82";6;5;1;-9
"83";6;5;2;-0,16
"84";6;6;2;-1,22
"85";4;6;2;5,49
"86";3;4;1;1,02
"87";5;2;2;-1,38
"88";3;5;1;-4,16
"89";5;2;2;-2,03
"90";5;4;2;-1,2
"91";4;4;1;-7,37
"92";5;4;2;4,52
"93";6;4;1;-2,7
"94";7;5;1;-16,95
"95";4;7;1;-3,78
"96";3;3;2;3,27
"97";4;2;2;2,73
"98";3;4;2;3,11
"99";4;2;1;0,06
"100";3;3;1;-0,89
"101";5;2;1;-0,72
"102";3;4;2;11,82
"103";6;2;1;-3,74
"104";4;5;2;5,67
"105";5;4;2;6,14
"106";4;4;2;-2,25
"107";7;3;1;-2,75
"108";6;6;2;-0,46
"109";6;5;1;1,91
"110";5;6;2;1,96
"111";6;5;2;3,23
"112";3;5;2;-3,04
"113";6;3;1;5,68
"114";5;6;1;-8,57
"115";5;5;1;-11,69
"116";1;4;2;4,32
"117";5;5;2;1,89
"118";5;5;1;-1,56
"119";5;5;1;-3,17
"120";3;3;1;2,46
"121";6;6;2;3,63
"122";7;6;2;3,84
"123";6;5;1;3,55
"124";7;7;1;-9,51
"125";5;4;1;-4,47
"126";3;3;2;4,43
"127";5;5;2;0,74
"128";4;3;1;2,68
"129";2;1;2;1,27
"130";5;4;2;5,52
"131";3;2;2;4,42
"132";5;5;1;0,59
"133";4;4;2;6,97
"134";5;5;1;-6,85
"135";4;3;2;1,73
"136";5;4;2;-2,18
"137";4;4;1;-8,1
"138";6;6;1;-13,51
"139";5;4;2;-3,2
"140";4;3;1;1,68
"141";7;7;2;2,92
"142";2;1;2;2,23
"143";3;2;1;-1,48
"144";5;4;2;5,1
"145";6;5;2;-0,21
"146";3;2;2;5,21
"147";6;6;1;-16,76
"148";4;3;2;2,91
"149";3;2;2;3,86
"150";6;5;1;-5,97
"151";5;4;2;8,69
"152";4;3;2;7,83
"153";5;4;1;2,26
"154";2;1;2;3,68
"155";6;6;1;-1,89
"156";5;5;1;-1,47
"157";4;3;2;4,37
"158";5;4;1;-3,4
"159";3;3;1;-1,36
"160";6;5;2;4,77
"161";4;4;2;-3,82
"162";5;5;2;5,5
"163";5;5;1;-7,22
"164";5;5;1;3,65
"165";4;4;2;4,47
"166";5;5;2;15,88
"167";4;3;2;0,76
"168";6;5;1;5,95
"169";7;6;2;3,83
"170";6;6;2;3,35
"171";6;6;1;-3,14
"172";5;5;1;-6,13
"173";7;6;1;-6,83
"174";7;6;1;5,39
"175";5;4;2;-5,04
"176";5;5;1;-6,77
"177";6;5;2;3,43
"178";5;5;2;-3,48
"179";4;3;2;-0,24
"180";4;4;1;5,02
"181";4;3;2;-6,43
"182";5;4;2;4,59
"183";6;5;2;-3,1
"184";5;4;1;0,87
"185";5;5;1;-3,6
"186";7;7;1;-7,23
"187";4;4;1;-6,97
"188";5;5;1;-4,42
"189";7;6;2;-14,59
"190";4;3;1;4,21
"191";5;5;1;2,78
"192";6;6;1;-6,17
"193";5;4;1;-5,41
"194";5;4;1;6,8
"195";7;7;1;0,43
"196";5;4;2;-5,52
"197";5;4;1;-2,2
"198";2;1;2;3,5
"199";4;4;1;-3,4
"200";4;4;2;-1,65
"201";6;5;2;-1,07
"202";5;5;1;-2,62
"203";6;5;2;6,09
"204";6;6;1;1,18
"205";6;6;1;-14,85
"206";6;6;1;-4,28
"207";3;2;1;2,03
"208";4;3;1;-1,89
"209";6;5;1;-2,76
"210";6;5;1;0,9
"211";3;3;1;1,59
"212";6;6;1;-8,24
"213";5;4;1;-0,65
"214";6;6;2;2,22
"215";6;5;1;-13,1
"216";5;7;1;-0,57
"217";6;4;1;1,38
"218";5;7;1;-0,77
"219";4;6;2;2,6
"220";4;5;2;5,1
"221";3;3;1;5,12
"222";5;4;2;-7,86
"223";4;3;2;8,59
"224";2;5;1;-8,66
"225";6;4;1;-8,9
"226";5;1;2;-2,3
"227";4;6;1;-3,55
"228";5;5;2;-6,99
"229";4;3;1;1,31
"230";4;4;2;-4
"231";3;3;2;-0,66
"232";4;4;1;1,2
