"";"Wert";"Gruppe"
"1";0,0187461709418264;1
"2";-0,184252542069064;0
"3";-1,37133054992251;0
"4";-0,599167715783718;1
"5";0,294545126567508;0
"6";0,389794300700167;0
"7";-1,20807617542949;0
"8";-0,363676017470862;0
"9";-1,62667268170309;1
"10";-0,256478394123992;0
"11";1,10177950308713;1
"12";0,755781508027337;1
"13";-0,238233556018718;0
"14";0,98744470341339;1
"15";0,741390128383824;0
"16";0,0893472664958216;0
"17";-0,954943856152377;0
"18";-0,195150384667239;0
"19";0,92552126209408;0
"20";0,482978524836611;1
