"";"x1";"x2";"sex";"y"
"1";4;3;1;10,45
"2";3;7;2;40,4
"3";5;2;2;7,11
"4";4;5;1;22,6
"5";4;3;1;6,69
"6";4;4;2;11,15
"7";5;3;2;12,77
"8";5;4;2;21,57
"9";7;5;2;20,41
"10";4;7;1;28,96
"11";3;3;1;15,64
"12";5;3;1;11,88
"13";3;4;1;17,78
"14";5;3;2;6,28
"15";4;4;1;19,48
"16";2;3;1;13,99
"17";5;1;1;1,91
"18";5;5;2;13,75
"19";6;4;2;17,03
"20";7;6;2;19,49
"21";6;6;2;31,87
"22";6;6;2;25,87
"23";5;6;1;37,66
"24";4;4;1;14,98
"25";4;3;1;13,73
"26";6;3;1;4,67
"27";7;5;1;20,29
"28";7;6;2;22,11
"29";7;7;1;29,64
"30";3;6;2;30,69
"31";2;3;1;14,78
"32";2;1;1;4,91
"33";5;1;1;5,98
"34";4;4;1;16,21
"35";5;3;1;17,06
"36";4;4;1;21,27
"37";6;4;2;15,81
"38";4;6;2;24,94
"39";4;3;1;8,39
"40";4;4;1;19,26
"41";5;3;2;8,3
"42";5;4;1;17,99
"43";7;5;2;6,18
"44";4;6;2;30,88
"45";5;3;2;7,6
"46";4;4;2;15,2
"47";6;3;2;14,15
"48";5;6;1;23,3
"49";5;4;2;17,13
"50";5;4;2;14,57
"51";3;5;1;26,44
"52";6;2;2;9,47
"53";4;6;2;27,57
"54";6;3;2;5,96
"55";4;5;2;25,36
"56";4;3;1;9,64
"57";2;4;1;21,8
"58";5;1;1;-3,04
"59";3;4;1;10,07
"60";5;2;1;5,43
"61";5;4;2;17,33
"62";5;4;1;15,96
"63";6;4;2;15,44
"64";5;5;2;22,26
"65";6;5;2;18,01
"66";5;5;2;25,09
"67";7;4;2;13,24
"68";5;6;1;24,06
"69";5;5;2;16,94
"70";4;5;2;19,64
"71";6;3;2;8,87
"72";2;5;2;21,61
"73";7;1;1;-6,57
"74";5;6;2;21,16
"75";6;4;1;14,8
"76";4;6;2;29,12
"77";4;3;1;9,06
"78";5;4;2;15,73
"79";4;4;1;15,62
"80";6;4;1;8,12
"81";3;6;2;31,36
"82";6;3;2;8,02
"83";6;6;1;21,03
"84";7;6;1;28
"85";6;6;1;17,32
"86";4;5;1;17,17
"87";4;4;2;20,94
"88";5;4;2;16,57
"89";5;4;1;23,95
"90";2;4;2;19,84
"91";7;1;2;2,41
"92";6;7;1;41,01
"93";5;6;1;32,32
"94";5;5;1;20,61
"95";6;4;1;15,89
"96";5;6;2;30,64
"97";2;4;1;21,49
"98";4;1;2;-3,29
"99";3;3;1;12,07
"100";5;7;1;29,42
"101";3;3;2;14,8
"102";6;5;2;16,77
"103";3;2;2;7,85
"104";6;6;2;23,85
"105";5;2;2;4,67
"106";5;5;1;18,9
"107";7;5;1;23,91
"108";6;4;2;16,55
"109";3;7;1;43,75
"110";2;6;1;28,09
"111";7;2;1;10,46
"112";5;2;2;3,66
"113";4;6;2;29,66
"114";7;5;1;19,87
"115";3;4;1;14,49
"116";3;7;1;34,84
"117";2;2;1;12,99
"118";3;2;1;11,34
"119";5;7;2;34,59
"120";6;1;1;3,08
"121";6;2;1;1,23
"122";5;4;2;16,27
"123";3;6;2;28
"124";6;5;2;22,07
"125";5;5;1;18,62
"126";4;3;1;16,6
"127";5;6;2;23,54
"128";7;5;2;11,28
"129";5;3;1;7,92
"130";4;4;1;20,02
"131";5;6;1;34,55
"132";5;4;1;18,42
"133";3;4;1;17,12
"134";4;5;2;23,33
"135";7;4;1;19,17
"136";6;2;1;1,08
"137";4;4;1;9,33
"138";6;6;1;24,89
"139";4;6;1;32,73
"140";7;4;2;17,95
"141";4;6;1;26,48
"142";7;3;1;10,15
"143";4;7;1;32,3
"144";5;4;2;16,8
"145";1;7;2;28,27
"146";5;4;2;14,65
"147";4;5;2;23,42
"148";4;5;2;23,27
"149";5;4;2;8,84
"150";5;3;2;10,96
"151";5;4;1;11,14
"152";4;4;2;19,26
"153";3;4;2;22,1
"154";5;4;1;15,83
"155";3;2;2;6,46
"156";2;5;2;21,75
"157";5;2;2;6,05
"158";6;1;1;2,59
"159";3;4;1;14,78
"160";6;5;2;9,45
"161";4;3;2;9,89
"162";4;6;1;24,73
"163";6;3;1;4,35
"164";7;3;2;8,9
"165";3;6;2;21,32
"166";5;6;2;24,4
"167";5;2;1;10,12
"168";4;4;1;17,06
"169";6;4;2;12,49
"170";3;4;2;17,06
"171";6;6;1;25,6
"172";6;2;2;3,21
"173";4;6;2;30,54
"174";6;5;1;16,63
"175";5;4;1;14,25
"176";6;5;2;25,51
"177";5;4;1;15,17
"178";4;7;2;33,71
"179";6;6;1;20,86
"180";5;5;1;22,51
"181";5;3;2;14,02
"182";7;6;2;24,97
"183";4;4;1;17,18
"184";5;4;1;11,9
"185";6;6;2;23,98
"186";6;3;1;7,15
"187";6;5;2;27,06
"188";4;5;1;27,59
"189";6;6;2;27,04
"190";7;6;1;18,69
"191";6;4;2;20,32
"192";6;6;2;27,14
"193";4;7;1;35,81
"194";6;6;2;29,22
"195";4;5;1;22,45
"196";5;4;1;17,44
"197";6;6;1;20,08
"198";6;4;2;22
"199";5;4;1;18,89
"200";5;5;2;18,39
"201";4;6;1;22,13
"202";2;5;1;22,51
"203";5;4;2;25,14
"204";2;4;2;24,14
"205";4;2;2;12,04
"206";4;4;2;11,91
"207";4;1;2;3,76
"208";7;4;1;17,75
"209";4;3;1;15,12
"210";4;4;1;20,96
"211";4;6;2;30,84
"212";4;3;2;12,71
"213";5;3;1;15,89
"214";7;4;1;14,48
"215";5;3;1;6,77
"216";5;4;1;20,67
"217";5;7;1;30,51
"218";3;5;1;21,6
"219";4;4;2;13,69
"220";6;4;1;24,14
"221";5;2;1;7,66
"222";3;3;1;13,02
